priority_tier,importance_score,id,name,nearest_town,current_region,latitude,longitude,source_status,metadata_source_count,photo_present,attractions_count,duration,max_altitude_m,review_basis,next_action
P1,75,155,Албутински манастир,Градец,Видин,44.004444,22.695833,source,2,no,0,10-15 минути,,source; 2 metadata source(s); nearest_town; duration; rich_description,Fill length_km from source page or manual editorial review.
P1,65,152,Агушеви конаци,,Пловдив,41.495942,24.63583,source,2,no,0,3-4 часа,,source; 2 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P1,65,154,Аладжа манастир,,Пловдив,43.277567,28.018045,source,2,no,0,3-4 часа,,source; 2 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P1,65,160,Аркутино,,Пловдив,42.326056,27.730611,source,2,no,0,3-4 часа,,source; 2 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P1,65,161,Атанасовско езеро,,Пловдив,42.542,27.481,source,2,no,0,3-4 часа,,source; 2 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P1,65,162,Баба Вида,,Пловдив,43.99303,22.88634,source,2,no,0,3-4 часа,,source; 2 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P1,65,209,Деветашка пещера,,Пловдив,43.233,24.885,source,2,no,0,3-4 часа,,source; 2 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P1,65,309,Райското пръскало,,Пловдив,42.541389,24.945833,source,2,no,0,3-4 часа,,source; 2 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P1,65,168,Батак,Батак,Пловдив,41.884,24.238,source,1,no,0,3-4 часа,,source; 1 metadata source(s); nearest_town; duration; rich_description,Fill length_km from source page or manual editorial review.
P1,65,179,Бистрица,Бистрица,Пловдив,42.241004,23.169043,source,1,no,0,3-4 часа,,source; 1 metadata source(s); nearest_town; duration; rich_description,Fill length_km from source page or manual editorial review.
P1,65,212,Доспат,Доспат,Пловдив,41.644167,24.161111,source,1,no,0,3-4 часа,,source; 1 metadata source(s); nearest_town; duration; rich_description,Fill length_km from source page or manual editorial review.
P1,65,226,Енина,Енина,Пловдив,42.673,25.412,source,1,no,0,3-4 часа,,source; 1 metadata source(s); nearest_town; duration; rich_description,Fill length_km from source page or manual editorial review.
P1,65,253,Киселчово,Киселчово,Пловдив,41.525722,24.602362,source,1,no,0,3-4 часа,,source; 1 metadata source(s); nearest_town; duration; rich_description,Fill length_km from source page or manual editorial review.
P1,65,340,Сърница,Сърница,Пловдив,41.726944,24.062222,source,1,no,0,3-4 часа,,source; 1 metadata source(s); nearest_town; duration; rich_description,Fill length_km from source page or manual editorial review.
