severity,category,trail_id,trail_name,region,nearest_town,details
high,contact_email_region_mismatch,1,"Екопътека ""Ерантис"" – Киреево",Видин,Киреево,"contact email suggests Plovdiv, but record region is 'Видин'"
high,contact_email_region_mismatch,2,"Екопътека ""Етър-Соколски манастир""",Габрово,Етър,"contact email suggests Plovdiv, but record region is 'Габрово'"
high,contact_email_region_mismatch,3,"Екопътека ""Збегове"" – Белоградчик",Видин,Белоградчик,"contact email suggests Plovdiv, but record region is 'Видин'"
high,contact_email_region_mismatch,4,"Екопътека Заслон ""Опасен зъб"" – Тетевен",Ловеч,Тетевен,"contact email suggests Plovdiv, but record region is 'Ловеч'"
high,contact_email_region_mismatch,5,"Екопътека до ""Първия войнишки паметник"" - с. Алдомировци",Алдомировци,Алдомировци,"contact email suggests Plovdiv, but record region is 'Алдомировци'"
high,contact_email_region_mismatch,6,"Водопад ""Лястовичи вир""",Асеновград,Долнослав,"contact email suggests Plovdiv, but record region is 'Асеновград'"
high,contact_email_region_mismatch,7,Местност за пикник Орешак,Балчик,Орешак,"contact email suggests Plovdiv, but record region is 'Балчик'"
high,contact_email_region_mismatch,8,Местност Бялата чешма – Самуилово,Беласица,Самуилово,"contact email suggests Plovdiv, but record region is 'Беласица'"
high,contact_email_region_mismatch,9,Хайдушки водопади (екопътека),Берковица,Берковица,"contact email suggests Plovdiv, but record region is 'Берковица'"
high,contact_email_region_mismatch,24,"Скално образование ""Камината"" – Бов",Бов,Бов,"contact email suggests Plovdiv, but record region is 'Бов'"
high,contact_email_region_mismatch,26,"Екопътека ""Пещера и изворите на р. Младежка""",Бургас,Младежко,"contact email suggests Plovdiv, but record region is 'Бургас'"
high,contact_email_region_mismatch,27,"Екопътека ""По следите на миналото"" – Приморско",Бургас,Приморско,"contact email suggests Plovdiv, but record region is 'Бургас'"
high,contact_email_region_mismatch,28,"Екопътека ""По следите на римляните"" – Приморско",Бургас,Приморско,"contact email suggests Plovdiv, but record region is 'Бургас'"
high,contact_email_region_mismatch,29,"Екопътека ""Пътят на ясния месец""",Бургас,Бръшлян,"contact email suggests Plovdiv, but record region is 'Бургас'"
high,contact_email_region_mismatch,30,Дивите кактуси на Синеморец,Бургаска област,Синеморец,"contact email suggests Plovdiv, but record region is 'Бургаска област'"
