"category","severity","id","name","details"
"synthetic_without_sources","high","101","Екопътека ""Екот от камбанен звън"" – Рибарица","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","102","Екопътека ""Горица""","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","103","Екопътека ""Горица"" (Овчарченски водопад)","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","105","Водопади ""Дуплево"", ""Скакалото"" и ""Костен камък"" - с.Орехово","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","106","Екопътека до Киселчовски водопад","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","107","Вазова екопътека","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","151","""Зелената пътека"" - Бачковски манастир","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","17","Екопътека ""Властелинът на планините""","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","18","Екопътека ""Влахи""","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","182","Божевски водопад","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","19","Екопътека ""Кръстът"" – Благоевград","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","21","Екопътека ""Пътеката на дивата коза""","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","22","Екопътека ""Римски мост""","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","23","Екопътека ""Тай3ните на водата"" и водопад ""Срамежливеца""","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","266","Кървавата скала","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","281","Меаните","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","284","Мечи стъпки","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","290","Обесен камък","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","291","Окопна манастир","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","3","Екопътека ""Збегове"" – Белоградчик","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","308","Пътека","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","36","Еменски каньон","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","39","Христовски водопад ""Руховци"" (екопътека)","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","4","Екопътека Заслон ""Опасен зъб"" – Тетевен","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","44","Нископланинска обиколна пътека (НОП) Витоша","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","46","Подход от кв. Бояна","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","47","Подход от кв. Драгалевци","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","48","Подход от кв. Княжево","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","49","Подход от м. Златни мостове","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","5","Екопътека до ""Първия войнишки паметник"" - с. Алдомировци","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","50","Подход от м. Ярема","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","51","Подход от с. Бистрица","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","52","Подход от с. Боснек","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","54","Подход от с. Железница","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","55","Подход от с. Кладница","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","59","Пътека ""Сила и живот""","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","64","Врачанска екопътека","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","65","Горска пътека на приказките","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","71","Наследствена пътека с. Очин дол","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","77","Екопътека ""Иванчова поляна""","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","8","Местност Бялата чешма – Самуилово","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","85","Екопъ3тека ""Римският път""","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","9","Хайдушки водопади (екопътека)","Synthetic metadata present but metadata.sources_urls is missing"
"synthetic_without_sources","high","97","Алея на туриста до м. Струилица – Девин","Synthetic metadata present but metadata.sources_urls is missing"
"missing_photo_url","low","10","E4 Етап 10: Вихрен - Банско","photo_url is missing"
"missing_photo_url","low","11","E4 Етап 11: Банско - Славянка планина","photo_url is missing"
"missing_photo_url","low","113","E4 Етап 3: Перелик - Рила манастир","photo_url is missing"
"missing_photo_url","low","114","E4 Етап 4: Рила манастир - Седемте Рилски езера","photo_url is missing"
"missing_photo_url","low","115","E4 Етап 5: Озеро - връх Маричини езера","photo_url is missing"
"missing_photo_url","low","116","E8 Етап 1: Рила манастир - Врелото","photo_url is missing"
"missing_photo_url","low","117","E8 Етап 2: Врелото - Рилска пустиня","photo_url is missing"
"missing_photo_url","low","118","E8 Етап 3: Рилска пустиня - Урдини езера","photo_url is missing"
"missing_photo_url","low","119","E8 Етап 4: Урдини езера - връх Стобски пирамиди","photo_url is missing"
"missing_photo_url","low","12","E4 Етап 12: Славянка връх - Мелник","photo_url is missing"
