"id","name","current_source","bing_denivelation","bing_elevation_en","bing_opoznai","bing_wikiloc","bing_alltrails","bing_komoot","bing_bgmountains"
"142","Алея на Боснешкия карст","Текстов файл, предоставен от потребителя","https://www.bing.com/search?q=%D0%90%D0%BB%D0%B5%D1%8F%20%D0%BD%D0%B0%20%D0%91%D0%BE%D1%81%D0%BD%D0%B5%D1%88%D0%BA%D0%B8%D1%8F%20%D0%BA%D0%B0%D1%80%D1%81%D1%82%20%D0%B4%D0%B5%D0%BD%D0%B8%D0%B2%D0%B5%D0%BB%D0%B0%D1%86%D0%B8%D1%8F","https://www.bing.com/search?q=%D0%90%D0%BB%D0%B5%D1%8F%20%D0%BD%D0%B0%20%D0%91%D0%BE%D1%81%D0%BD%D0%B5%D1%88%D0%BA%D0%B8%D1%8F%20%D0%BA%D0%B0%D1%80%D1%81%D1%82%20elevation%20gain","https://www.bing.com/search?q=site%3Aopoznai.bg%20%D0%90%D0%BB%D0%B5%D1%8F%20%D0%BD%D0%B0%20%D0%91%D0%BE%D1%81%D0%BD%D0%B5%D1%88%D0%BA%D0%B8%D1%8F%20%D0%BA%D0%B0%D1%80%D1%81%D1%82","https://www.bing.com/search?q=site%3Awikiloc.com%20%D0%90%D0%BB%D0%B5%D1%8F%20%D0%BD%D0%B0%20%D0%91%D0%BE%D1%81%D0%BD%D0%B5%D1%88%D0%BA%D0%B8%D1%8F%20%D0%BA%D0%B0%D1%80%D1%81%D1%82","https://www.bing.com/search?q=site%3Aalltrails.com%20%D0%90%D0%BB%D0%B5%D1%8F%20%D0%BD%D0%B0%20%D0%91%D0%BE%D1%81%D0%BD%D0%B5%D1%88%D0%BA%D0%B8%D1%8F%20%D0%BA%D0%B0%D1%80%D1%81%D1%82","https://www.bing.com/search?q=site%3Akomoot.com%20%D0%90%D0%BB%D0%B5%D1%8F%20%D0%BD%D0%B0%20%D0%91%D0%BE%D1%81%D0%BD%D0%B5%D1%88%D0%BA%D0%B8%D1%8F%20%D0%BA%D0%B0%D1%80%D1%81%D1%82","https://www.bing.com/search?q=site%3Abgmountains.org%20%D0%90%D0%BB%D0%B5%D1%8F%20%D0%BD%D0%B0%20%D0%91%D0%BE%D1%81%D0%BD%D0%B5%D1%88%D0%BA%D0%B8%D1%8F%20%D0%BA%D0%B0%D1%80%D1%81%D1%82"
"64","Врачанска екопътека","Природен парк 'Врачански Балкан'","https://www.bing.com/search?q=%D0%92%D1%80%D0%B0%D1%87%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%20%D0%B5%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%D0%B4%D0%B5%D0%BD%D0%B8%D0%B2%D0%B5%D0%BB%D0%B0%D1%86%D0%B8%D1%8F","https://www.bing.com/search?q=%D0%92%D1%80%D0%B0%D1%87%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%20%D0%B5%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20elevation%20gain","https://www.bing.com/search?q=site%3Aopoznai.bg%20%D0%92%D1%80%D0%B0%D1%87%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%20%D0%B5%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0","https://www.bing.com/search?q=site%3Awikiloc.com%20%D0%92%D1%80%D0%B0%D1%87%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%20%D0%B5%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0","https://www.bing.com/search?q=site%3Aalltrails.com%20%D0%92%D1%80%D0%B0%D1%87%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%20%D0%B5%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0","https://www.bing.com/search?q=site%3Akomoot.com%20%D0%92%D1%80%D0%B0%D1%87%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%20%D0%B5%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0","https://www.bing.com/search?q=site%3Abgmountains.org%20%D0%92%D1%80%D0%B0%D1%87%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%20%D0%B5%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0"
"102","Екопътека ""Горица""","https://opoznai.bg/","https://www.bing.com/search?q=%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%93%D0%BE%D1%80%D0%B8%D1%86%D0%B0%22%20%D0%B4%D0%B5%D0%BD%D0%B8%D0%B2%D0%B5%D0%BB%D0%B0%D1%86%D0%B8%D1%8F","https://www.bing.com/search?q=%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%93%D0%BE%D1%80%D0%B8%D1%86%D0%B0%22%20elevation%20gain","https://www.bing.com/search?q=site%3Aopoznai.bg%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%93%D0%BE%D1%80%D0%B8%D1%86%D0%B0%22","https://www.bing.com/search?q=site%3Awikiloc.com%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%93%D0%BE%D1%80%D0%B8%D1%86%D0%B0%22","https://www.bing.com/search?q=site%3Aalltrails.com%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%93%D0%BE%D1%80%D0%B8%D1%86%D0%B0%22","https://www.bing.com/search?q=site%3Akomoot.com%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%93%D0%BE%D1%80%D0%B8%D1%86%D0%B0%22","https://www.bing.com/search?q=site%3Abgmountains.org%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%93%D0%BE%D1%80%D0%B8%D1%86%D0%B0%22"
"87","Екопътека ""Градище-Кметовци""","https://opoznai.bg/","https://www.bing.com/search?q=%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%93%D1%80%D0%B0%D0%B4%D0%B8%D1%89%D0%B5-%D0%9A%D0%BC%D0%B5%D1%82%D0%BE%D0%B2%D1%86%D0%B8%22%20%D0%B4%D0%B5%D0%BD%D0%B8%D0%B2%D0%B5%D0%BB%D0%B0%D1%86%D0%B8%D1%8F","https://www.bing.com/search?q=%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%93%D1%80%D0%B0%D0%B4%D0%B8%D1%89%D0%B5-%D0%9A%D0%BC%D0%B5%D1%82%D0%BE%D0%B2%D1%86%D0%B8%22%20elevation%20gain","https://www.bing.com/search?q=site%3Aopoznai.bg%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%93%D1%80%D0%B0%D0%B4%D0%B8%D1%89%D0%B5-%D0%9A%D0%BC%D0%B5%D1%82%D0%BE%D0%B2%D1%86%D0%B8%22","https://www.bing.com/search?q=site%3Awikiloc.com%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%93%D1%80%D0%B0%D0%B4%D0%B8%D1%89%D0%B5-%D0%9A%D0%BC%D0%B5%D1%82%D0%BE%D0%B2%D1%86%D0%B8%22","https://www.bing.com/search?q=site%3Aalltrails.com%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%93%D1%80%D0%B0%D0%B4%D0%B8%D1%89%D0%B5-%D0%9A%D0%BC%D0%B5%D1%82%D0%BE%D0%B2%D1%86%D0%B8%22","https://www.bing.com/search?q=site%3Akomoot.com%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%93%D1%80%D0%B0%D0%B4%D0%B8%D1%89%D0%B5-%D0%9A%D0%BC%D0%B5%D1%82%D0%BE%D0%B2%D1%86%D0%B8%22","https://www.bing.com/search?q=site%3Abgmountains.org%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%93%D1%80%D0%B0%D0%B4%D0%B8%D1%89%D0%B5-%D0%9A%D0%BC%D0%B5%D1%82%D0%BE%D0%B2%D1%86%D0%B8%22"
"88","Екопътека ""Градище-пазителката на прохода""","https://opoznai.bg/","https://www.bing.com/search?q=%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%93%D1%80%D0%B0%D0%B4%D0%B8%D1%89%D0%B5-%D0%BF%D0%B0%D0%B7%D0%B8%D1%82%D0%B5%D0%BB%D0%BA%D0%B0%D1%82%D0%B0%20%D0%BD%D0%B0%20%D0%BF%D1%80%D0%BE%D1%85%D0%BE%D0%B4%D0%B0%22%20%D0%B4%D0%B5%D0%BD%D0%B8%D0%B2%D0%B5%D0%BB%D0%B0%D1%86%D0%B8%D1%8F","https://www.bing.com/search?q=%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%93%D1%80%D0%B0%D0%B4%D0%B8%D1%89%D0%B5-%D0%BF%D0%B0%D0%B7%D0%B8%D1%82%D0%B5%D0%BB%D0%BA%D0%B0%D1%82%D0%B0%20%D0%BD%D0%B0%20%D0%BF%D1%80%D0%BE%D1%85%D0%BE%D0%B4%D0%B0%22%20elevation%20gain","https://www.bing.com/search?q=site%3Aopoznai.bg%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%93%D1%80%D0%B0%D0%B4%D0%B8%D1%89%D0%B5-%D0%BF%D0%B0%D0%B7%D0%B8%D1%82%D0%B5%D0%BB%D0%BA%D0%B0%D1%82%D0%B0%20%D0%BD%D0%B0%20%D0%BF%D1%80%D0%BE%D1%85%D0%BE%D0%B4%D0%B0%22","https://www.bing.com/search?q=site%3Awikiloc.com%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%93%D1%80%D0%B0%D0%B4%D0%B8%D1%89%D0%B5-%D0%BF%D0%B0%D0%B7%D0%B8%D1%82%D0%B5%D0%BB%D0%BA%D0%B0%D1%82%D0%B0%20%D0%BD%D0%B0%20%D0%BF%D1%80%D0%BE%D1%85%D0%BE%D0%B4%D0%B0%22","https://www.bing.com/search?q=site%3Aalltrails.com%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%93%D1%80%D0%B0%D0%B4%D0%B8%D1%89%D0%B5-%D0%BF%D0%B0%D0%B7%D0%B8%D1%82%D0%B5%D0%BB%D0%BA%D0%B0%D1%82%D0%B0%20%D0%BD%D0%B0%20%D0%BF%D1%80%D0%BE%D1%85%D0%BE%D0%B4%D0%B0%22","https://www.bing.com/search?q=site%3Akomoot.com%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%93%D1%80%D0%B0%D0%B4%D0%B8%D1%89%D0%B5-%D0%BF%D0%B0%D0%B7%D0%B8%D1%82%D0%B5%D0%BB%D0%BA%D0%B0%D1%82%D0%B0%20%D0%BD%D0%B0%20%D0%BF%D1%80%D0%BE%D1%85%D0%BE%D0%B4%D0%B0%22","https://www.bing.com/search?q=site%3Abgmountains.org%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%93%D1%80%D0%B0%D0%B4%D0%B8%D1%89%D0%B5-%D0%BF%D0%B0%D0%B7%D0%B8%D1%82%D0%B5%D0%BB%D0%BA%D0%B0%D1%82%D0%B0%20%D0%BD%D0%B0%20%D0%BF%D1%80%D0%BE%D1%85%D0%BE%D0%B4%D0%B0%22"
"101","Екопътека ""Екот от камбанен звън"" – Рибарица","https://opoznai.bg/","https://www.bing.com/search?q=%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%95%D0%BA%D0%BE%D1%82%20%D0%BE%D1%82%20%D0%BA%D0%B0%D0%BC%D0%B1%D0%B0%D0%BD%D0%B5%D0%BD%20%D0%B7%D0%B2%D1%8A%D0%BD%22%20%E2%80%93%20%D0%A0%D0%B8%D0%B1%D0%B0%D1%80%D0%B8%D1%86%D0%B0%20%D0%B4%D0%B5%D0%BD%D0%B8%D0%B2%D0%B5%D0%BB%D0%B0%D1%86%D0%B8%D1%8F","https://www.bing.com/search?q=%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%95%D0%BA%D0%BE%D1%82%20%D0%BE%D1%82%20%D0%BA%D0%B0%D0%BC%D0%B1%D0%B0%D0%BD%D0%B5%D0%BD%20%D0%B7%D0%B2%D1%8A%D0%BD%22%20%E2%80%93%20%D0%A0%D0%B8%D0%B1%D0%B0%D1%80%D0%B8%D1%86%D0%B0%20elevation%20gain","https://www.bing.com/search?q=site%3Aopoznai.bg%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%95%D0%BA%D0%BE%D1%82%20%D0%BE%D1%82%20%D0%BA%D0%B0%D0%BC%D0%B1%D0%B0%D0%BD%D0%B5%D0%BD%20%D0%B7%D0%B2%D1%8A%D0%BD%22%20%E2%80%93%20%D0%A0%D0%B8%D0%B1%D0%B0%D1%80%D0%B8%D1%86%D0%B0","https://www.bing.com/search?q=site%3Awikiloc.com%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%95%D0%BA%D0%BE%D1%82%20%D0%BE%D1%82%20%D0%BA%D0%B0%D0%BC%D0%B1%D0%B0%D0%BD%D0%B5%D0%BD%20%D0%B7%D0%B2%D1%8A%D0%BD%22%20%E2%80%93%20%D0%A0%D0%B8%D0%B1%D0%B0%D1%80%D0%B8%D1%86%D0%B0","https://www.bing.com/search?q=site%3Aalltrails.com%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%95%D0%BA%D0%BE%D1%82%20%D0%BE%D1%82%20%D0%BA%D0%B0%D0%BC%D0%B1%D0%B0%D0%BD%D0%B5%D0%BD%20%D0%B7%D0%B2%D1%8A%D0%BD%22%20%E2%80%93%20%D0%A0%D0%B8%D0%B1%D0%B0%D1%80%D0%B8%D1%86%D0%B0","https://www.bing.com/search?q=site%3Akomoot.com%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%95%D0%BA%D0%BE%D1%82%20%D0%BE%D1%82%20%D0%BA%D0%B0%D0%BC%D0%B1%D0%B0%D0%BD%D0%B5%D0%BD%20%D0%B7%D0%B2%D1%8A%D0%BD%22%20%E2%80%93%20%D0%A0%D0%B8%D0%B1%D0%B0%D1%80%D0%B8%D1%86%D0%B0","https://www.bing.com/search?q=site%3Abgmountains.org%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%95%D0%BA%D0%BE%D1%82%20%D0%BE%D1%82%20%D0%BA%D0%B0%D0%BC%D0%B1%D0%B0%D0%BD%D0%B5%D0%BD%20%D0%B7%D0%B2%D1%8A%D0%BD%22%20%E2%80%93%20%D0%A0%D0%B8%D0%B1%D0%B0%D1%80%D0%B8%D1%86%D0%B0"
"446","Екопътека ""Знамето"" – с. Младен","https://opoznai.bg/","https://www.bing.com/search?q=%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%97%D0%BD%D0%B0%D0%BC%D0%B5%D1%82%D0%BE%22%20%E2%80%93%20%D1%81.%20%D0%9C%D0%BB%D0%B0%D0%B4%D0%B5%D0%BD%20%D0%B4%D0%B5%D0%BD%D0%B8%D0%B2%D0%B5%D0%BB%D0%B0%D1%86%D0%B8%D1%8F","https://www.bing.com/search?q=%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%97%D0%BD%D0%B0%D0%BC%D0%B5%D1%82%D0%BE%22%20%E2%80%93%20%D1%81.%20%D0%9C%D0%BB%D0%B0%D0%B4%D0%B5%D0%BD%20elevation%20gain","https://www.bing.com/search?q=site%3Aopoznai.bg%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%97%D0%BD%D0%B0%D0%BC%D0%B5%D1%82%D0%BE%22%20%E2%80%93%20%D1%81.%20%D0%9C%D0%BB%D0%B0%D0%B4%D0%B5%D0%BD","https://www.bing.com/search?q=site%3Awikiloc.com%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%97%D0%BD%D0%B0%D0%BC%D0%B5%D1%82%D0%BE%22%20%E2%80%93%20%D1%81.%20%D0%9C%D0%BB%D0%B0%D0%B4%D0%B5%D0%BD","https://www.bing.com/search?q=site%3Aalltrails.com%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%97%D0%BD%D0%B0%D0%BC%D0%B5%D1%82%D0%BE%22%20%E2%80%93%20%D1%81.%20%D0%9C%D0%BB%D0%B0%D0%B4%D0%B5%D0%BD","https://www.bing.com/search?q=site%3Akomoot.com%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%97%D0%BD%D0%B0%D0%BC%D0%B5%D1%82%D0%BE%22%20%E2%80%93%20%D1%81.%20%D0%9C%D0%BB%D0%B0%D0%B4%D0%B5%D0%BD","https://www.bing.com/search?q=site%3Abgmountains.org%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%97%D0%BD%D0%B0%D0%BC%D0%B5%D1%82%D0%BE%22%20%E2%80%93%20%D1%81.%20%D0%9C%D0%BB%D0%B0%D0%B4%D0%B5%D0%BD"
"219","Екопътека ""Манастира""","Текстов файл, предоставен от потребителя","https://www.bing.com/search?q=%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%9C%D0%B0%D0%BD%D0%B0%D1%81%D1%82%D0%B8%D1%80%D0%B0%22%20%D0%B4%D0%B5%D0%BD%D0%B8%D0%B2%D0%B5%D0%BB%D0%B0%D1%86%D0%B8%D1%8F","https://www.bing.com/search?q=%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%9C%D0%B0%D0%BD%D0%B0%D1%81%D1%82%D0%B8%D1%80%D0%B0%22%20elevation%20gain","https://www.bing.com/search?q=site%3Aopoznai.bg%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%9C%D0%B0%D0%BD%D0%B0%D1%81%D1%82%D0%B8%D1%80%D0%B0%22","https://www.bing.com/search?q=site%3Awikiloc.com%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%9C%D0%B0%D0%BD%D0%B0%D1%81%D1%82%D0%B8%D1%80%D0%B0%22","https://www.bing.com/search?q=site%3Aalltrails.com%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%9C%D0%B0%D0%BD%D0%B0%D1%81%D1%82%D0%B8%D1%80%D0%B0%22","https://www.bing.com/search?q=site%3Akomoot.com%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%9C%D0%B0%D0%BD%D0%B0%D1%81%D1%82%D0%B8%D1%80%D0%B0%22","https://www.bing.com/search?q=site%3Abgmountains.org%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%22%D0%9C%D0%B0%D0%BD%D0%B0%D1%81%D1%82%D0%B8%D1%80%D0%B0%22"
"505","Екопътека до Водопад ""Скока""","https://opoznai.bg/","https://www.bing.com/search?q=%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%D0%B4%D0%BE%20%D0%92%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4%20%22%D0%A1%D0%BA%D0%BE%D0%BA%D0%B0%22%20%D0%B4%D0%B5%D0%BD%D0%B8%D0%B2%D0%B5%D0%BB%D0%B0%D1%86%D0%B8%D1%8F","https://www.bing.com/search?q=%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%D0%B4%D0%BE%20%D0%92%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4%20%22%D0%A1%D0%BA%D0%BE%D0%BA%D0%B0%22%20elevation%20gain","https://www.bing.com/search?q=site%3Aopoznai.bg%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%D0%B4%D0%BE%20%D0%92%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4%20%22%D0%A1%D0%BA%D0%BE%D0%BA%D0%B0%22","https://www.bing.com/search?q=site%3Awikiloc.com%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%D0%B4%D0%BE%20%D0%92%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4%20%22%D0%A1%D0%BA%D0%BE%D0%BA%D0%B0%22","https://www.bing.com/search?q=site%3Aalltrails.com%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%D0%B4%D0%BE%20%D0%92%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4%20%22%D0%A1%D0%BA%D0%BE%D0%BA%D0%B0%22","https://www.bing.com/search?q=site%3Akomoot.com%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%D0%B4%D0%BE%20%D0%92%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4%20%22%D0%A1%D0%BA%D0%BE%D0%BA%D0%B0%22","https://www.bing.com/search?q=site%3Abgmountains.org%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%D0%B4%D0%BE%20%D0%92%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4%20%22%D0%A1%D0%BA%D0%BE%D0%BA%D0%B0%22"
"411","Екопътека до местност Самоковището","https://opoznai.bg/","https://www.bing.com/search?q=%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%D0%B4%D0%BE%20%D0%BC%D0%B5%D1%81%D1%82%D0%BD%D0%BE%D1%81%D1%82%20%D0%A1%D0%B0%D0%BC%D0%BE%D0%BA%D0%BE%D0%B2%D0%B8%D1%89%D0%B5%D1%82%D0%BE%20%D0%B4%D0%B5%D0%BD%D0%B8%D0%B2%D0%B5%D0%BB%D0%B0%D1%86%D0%B8%D1%8F","https://www.bing.com/search?q=%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%D0%B4%D0%BE%20%D0%BC%D0%B5%D1%81%D1%82%D0%BD%D0%BE%D1%81%D1%82%20%D0%A1%D0%B0%D0%BC%D0%BE%D0%BA%D0%BE%D0%B2%D0%B8%D1%89%D0%B5%D1%82%D0%BE%20elevation%20gain","https://www.bing.com/search?q=site%3Aopoznai.bg%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%D0%B4%D0%BE%20%D0%BC%D0%B5%D1%81%D1%82%D0%BD%D0%BE%D1%81%D1%82%20%D0%A1%D0%B0%D0%BC%D0%BE%D0%BA%D0%BE%D0%B2%D0%B8%D1%89%D0%B5%D1%82%D0%BE","https://www.bing.com/search?q=site%3Awikiloc.com%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%D0%B4%D0%BE%20%D0%BC%D0%B5%D1%81%D1%82%D0%BD%D0%BE%D1%81%D1%82%20%D0%A1%D0%B0%D0%BC%D0%BE%D0%BA%D0%BE%D0%B2%D0%B8%D1%89%D0%B5%D1%82%D0%BE","https://www.bing.com/search?q=site%3Aalltrails.com%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%D0%B4%D0%BE%20%D0%BC%D0%B5%D1%81%D1%82%D0%BD%D0%BE%D1%81%D1%82%20%D0%A1%D0%B0%D0%BC%D0%BE%D0%BA%D0%BE%D0%B2%D0%B8%D1%89%D0%B5%D1%82%D0%BE","https://www.bing.com/search?q=site%3Akomoot.com%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%D0%B4%D0%BE%20%D0%BC%D0%B5%D1%81%D1%82%D0%BD%D0%BE%D1%81%D1%82%20%D0%A1%D0%B0%D0%BC%D0%BE%D0%BA%D0%BE%D0%B2%D0%B8%D1%89%D0%B5%D1%82%D0%BE","https://www.bing.com/search?q=site%3Abgmountains.org%20%D0%95%D0%BA%D0%BE%D0%BF%D1%8A%D1%82%D0%B5%D0%BA%D0%B0%20%D0%B4%D0%BE%20%D0%BC%D0%B5%D1%81%D1%82%D0%BD%D0%BE%D1%81%D1%82%20%D0%A1%D0%B0%D0%BC%D0%BE%D0%BA%D0%BE%D0%B2%D0%B8%D1%89%D0%B5%D1%82%D0%BE"
