"id","name","source","source_trust","source_trust_reason","nearest_town","region","missing_coords","missing_length_km","missing_elevation_gain_m","manual_elevation_gain_m","manual_elevation_source"
"142","Алея на Боснешкия карст","Текстов файл, предоставен от потребителя","trusted","user_contributed","Боснек","Перник","False","False","True","",""
"64","Врачанска екопътека","Природен парк 'Врачански Балкан'","trusted","official_or_tourism_portal","Враца","Врачанска област","False","False","True","",""
"102","Екопътека ""Горица""","https://opoznai.bg/","trusted","official_or_tourism_portal","Овчарци","Западна Рила","False","False","True","",""
"512","Екопътека ""Горската пътека""","https://opoznai.bg/","trusted","official_or_tourism_portal","Тетевен","Тетевен","False","False","True","260","description_explicit_denivelation"
"87","Екопътека ""Градище-Кметовци""","https://opoznai.bg/","trusted","official_or_tourism_portal","Габрово","Габрово","False","False","True","",""
"88","Екопътека ""Градище-пазителката на прохода""","https://opoznai.bg/","trusted","official_or_tourism_portal","Габрово","Габрово","False","False","True","",""
"421","Екопътека ""Драгиева чешма"" – Чавдар","https://opoznai.bg/","trusted","official_or_tourism_portal","Чавдар","Родопи","False","False","True","90","description_explicit_denivelation"
"101","Екопътека ""Екот от камбанен звън"" – Рибарица","https://opoznai.bg/","trusted","official_or_tourism_portal","Етрополе","Етрополе","False","False","True","",""
"446","Екопътека ""Знамето"" – с. Младен","https://opoznai.bg/","trusted","official_or_tourism_portal","Севлиево","Севлиево","False","False","True","",""
"219","Екопътека ""Манастира""","Текстов файл, предоставен от потребителя","trusted","user_contributed","Перущица","Пловдив","False","False","True","",""
"505","Екопътека до Водопад ""Скока""","https://opoznai.bg/","trusted","official_or_tourism_portal","Веселиново","Стара Планина","False","False","True","",""
"411","Екопътека до местност Самоковището","https://opoznai.bg/","trusted","official_or_tourism_portal","Дупница","Рила","False","False","True","",""
"412","Екопътека и Водопади ""Бохемия"" – Рила","https://opoznai.bg/","trusted","official_or_tourism_portal","Рила","Рила","False","False","True","",""
"100","Екопътека и Скален феномен ""Марков камък"" – Елена","https://opoznai.bg/","trusted","official_or_tourism_portal","Елена","Елена","False","False","True","",""
"30","Дивите кактуси на Синеморец","Местообитанията са част от Природен парк Странджа.","trusted","official_or_tourism_portal","Синеморец","Бургаска област","False","True","True","",""
"1","Екопътека ""Ерантис"" – Киреево","https://opoznai.bg/","trusted","official_or_tourism_portal","Киреево","","False","True","True","",""
"2","Екопътека ""Етър-Соколски манастир""","https://opoznai.bg/","trusted","official_or_tourism_portal","Етър","","False","True","True","",""
"3","Екопътека ""Збегове"" – Белоградчик","https://opoznai.bg/","trusted","official_or_tourism_portal","Белоградчик","","False","True","True","",""
"5","Екопътека до ""Първия войнишки паметник"" - с. Алдомировци","https://opoznai.bg/","trusted","official_or_tourism_portal","Алдомировци","Алдомировци","False","True","True","",""
"35","Екопътека до Преображенския манастир","https://opoznai.bg/","trusted","official_or_tourism_portal","Велико Търново","Велико Търново","False","True","True","",""
"4","Екопътека Заслон ""Опасен зъб"" – Тетевен","https://opoznai.bg/","trusted","official_or_tourism_portal","Тетевен","","False","True","True","493","description_explicit_denivelation"
