ID,Name,CurrentDescLength,ConfidenceInFiles,Status
1,"Екопътека ""Ерантис"" – Киреево",322,medium,Already Good
2,"Екопътека ""Етър-Соколски манастир""",95,high,Ready to Enrich
3,"Екопътека ""Збегове"" – Белоградчик",657,high,Ready to Enrich
4,"Екопътека Заслон ""Опасен зъб"" – Тетевен",581,high,Ready to Enrich
5,"Екопътека до ""Първия войнишки паметник"" - с. Алдомировци",276,high,Ready to Enrich
6,"Водопад ""Лястовичи вир""",906,none,Already Good
7,Местност за пикник Орешак,91,none,No Data Found
8,Местност Бялата чешма – Самуилово,278,high,Ready to Enrich
9,Хайдушки водопади (екопътека),313,high,Ready to Enrich
10,E4 Етап 10: Вихрен - Банско,45,none,No Data Found
11,E4 Етап 11: Банско - Славянка планина,50,none,No Data Found
12,E4 Етап 12: Славянка връх - Мелник,42,none,No Data Found
13,E4 Етап 8: Мусала - Пирин национален парк,44,none,No Data Found
14,E4 Етап 9: Пирин - връх Вихрен,44,none,No Data Found
15,Долина на река Благоевградска Бистрица,83,high,Ready to Enrich
16,"Екопътека ""Белица - Кръстова гора""",27,high,Ready to Enrich
17,"Екопътека ""Властелинът на планините""",200,none,No Data Found
18,"Екопътека ""Влахи""",208,none,No Data Found
19,"Екопътека ""Кръстът"" – Благоевград",314,high,Ready to Enrich
20,"Екопътека ""Мелник - Роженски манастир""",218,none,No Data Found
21,"Екопътека ""Пътеката на дивата коза""",227,high,Ready to Enrich
22,"Екопътека ""Римски мост""",587,high,Ready to Enrich
23,"Екопътека ""Тай3ните на водата"" и водопад ""Срамежливеца""",292,high,Ready to Enrich
24,"Скално образование ""Камината"" – Бов",287,medium,Review Needed (Medium Conf)
25,E3 Етап 10: Шипка - Емине връх,39,none,No Data Found
26,"Екопътека ""Пещера и изворите на р. Младежка""",459,none,Already Good
27,"Екопътека ""По следите на миналото"" – Приморско",229,none,No Data Found
28,"Екопътека ""По следите на римляните"" – Приморско",540,none,Already Good
29,"Екопътека ""Пътят на ясния месец""",131,none,No Data Found
30,Дивите кактуси на Синеморец,352,none,Already Good
31,Red Dot Trail - Витоша,49,high,Ready to Enrich
32,Боров камък - Враца,31,high,Ready to Enrich
33,Триградско ждрело - Смолян,40,none,No Data Found
34,"Екопътека ""Хотнишки водопад""",330,medium,Already Good
35,Екопътека до Преображенския манастир,680,none,Already Good
36,Еменски каньон,283,high,Ready to Enrich
37,Негованска екопътека – Емен,655,none,Already Good
38,Хотнишка екопътека,251,none,No Data Found
39,"Христовски водопад ""Руховци"" (екопътека)",174,high,Ready to Enrich
40,Еко стадион Пишмана,317,medium,Already Good
41,"Екопътека ""Планиница""",657,none,Already Good
42,Местност Божурица – Видин,279,none,No Data Found
43,"""Пътеката на здравето"" – Кладница",166,none,No Data Found
44,Нископланинска обиколна пътека (НОП) Витоша,625,high,Ready to Enrich
45,"Панорамна алея ""Галунка""",344,none,Already Good
46,Подход от кв. Бояна,316,high,Ready to Enrich
47,Подход от кв. Драгалевци,362,high,Ready to Enrich
48,Подход от кв. Княжево,294,high,Ready to Enrich
49,Подход от м. Златни мостове,238,high,Ready to Enrich
50,Подход от м. Ярема,363,high,Ready to Enrich
51,Подход от с. Бистрица,368,high,Ready to Enrich
52,Подход от с. Боснек,300,high,Ready to Enrich
53,Подход от с. Владая,277,none,No Data Found
54,Подход от с. Железница,265,high,Ready to Enrich
55,Подход от с. Кладница,232,high,Ready to Enrich
56,Подход от с. Рударци,224,none,No Data Found
57,Подход от с. Чуйпетлово,267,none,No Data Found
58,Подход от с. Ярлово,250,none,No Data Found
59,"Пътека ""Сила и живот""",190,high,Ready to Enrich
